,deviceID,tstamp,temperature,humidity,pressure,pidVolts,pidPPM,pidCal,pidCalDate
0,1,2018-05-30 11:50:09.397,,44.321112,1009.756053,0.107985,1.9519352499999998,0.6125,2018-03-26
1,1,2018-05-30 11:58:02.557,,44.149315,1009.775406,0.108791,1.9661611499999998,0.6125,2018-03-26
2,1,2018-05-30 12:02:15.470,27.013914,43.733547,1009.817885,0.107985,1.9519352499999998,0.6125,2018-03-26
3,1,2018-05-30 12:17:16.673,27.231028,43.702377,1009.826809,0.818755,14.497025749999999,0.6125,2018-03-26
4,1,2018-05-30 12:32:17.963,27.503684,42.848087,1009.604788,0.365861,6.50344665,0.6125,2018-03-26
5,1,2018-05-30 12:47:19.257,27.7208,42.494595,1009.45201,0.285275,5.08110375,0.6125,2018-03-26
6,1,2018-05-30 15:30:24.763,29.578927,40.713471,1008.390882,0.145055,2.6062207499999994,0.6125,2018-03-26
7,1,2018-05-30 16:19:16.087,29.477941,39.153123,1007.497708,0.124908,2.158915,0.6125,2018-03-26
8,1,2018-05-30 16:34:17.337,29.356758,38.761585,1007.379702,0.125714,2.17314,0.6125,2018-03-26
9,1,2018-05-30 16:49:18.587,29.190131,38.653782,1007.402539,0.125714,2.17314,0.6125,2018-03-26
10,1,2018-05-30 17:04:19.833,29.26587,38.34183,1007.284454,0.124908,2.158915,0.6125,2018-03-26
11,1,2018-05-30 17:19:21.083,29.311314,38.018436,1007.359011,0.124908,2.158915,0.6125,2018-03-26
12,1,2018-05-30 17:34:22.333,29.356758,38.007028,1007.2989,0.123297,2.130464,0.6125,2018-03-26
13,1,2018-05-30 17:49:23.583,29.245673,37.859685,1007.197461,0.123297,2.130464,0.6125,2018-03-26
14,1,2018-05-30 18:04:24.837,29.185082,37.33224,1007.098062,0.122491,2.116239,0.6125,2018-03-26
15,1,2018-05-30 18:19:26.083,29.079047,37.66147,1007.058734,0.121685,2.102014,0.6125,2018-03-26
16,1,2018-05-30 18:34:27.333,29.05885,37.752243,1007.160205,0.120879,2.087789,0.6125,2018-03-26
17,1,2018-05-30 18:49:28.583,28.98816,37.678661,1007.09806,0.120879,2.087789,0.6125,2018-03-26
18,1,2018-05-30 19:04:29.833,28.816484,37.962364,1007.112416,0.120073,2.073563,0.6125,2018-03-26
19,1,2018-05-30 19:19:31.073,28.745795,37.877454,1007.184767,0.120073,2.073563,0.6125,2018-03-26
20,1,2018-05-30 19:34:32.337,28.513529,37.809807,1007.233945,0.119267,2.059338,0.6125,2018-03-26
21,1,2018-05-30 19:49:33.583,28.382248,38.738449,1007.314241,0.118462,2.045113,0.6125,2018-03-26
22,1,2018-05-30 20:04:34.833,28.311559,40.181305,1007.467057,0.118462,2.045113,0.6125,2018-03-26
23,1,2018-05-30 20:19:36.083,28.165131,41.142017,1007.737345,0.117656,2.030888,0.6125,2018-03-26
24,1,2018-05-30 20:34:37.333,28.008605,43.056503,1007.748934,0.117656,2.030888,0.6125,2018-03-26
25,1,2018-05-30 20:49:38.583,27.922768,43.908292,1008.118456,0.118462,2.045113,0.6125,2018-03-26
26,1,2018-05-30 21:04:39.833,27.690505,43.397493,1008.139562,0.120073,2.073563,0.6125,2018-03-26
27,1,2018-05-30 21:19:41.033,27.473389,42.695435,1008.265904,0.120073,2.073563,0.6125,2018-03-26
28,1,2018-05-30 21:34:42.317,27.301717,42.783995,1008.466741,0.120073,2.073563,0.6125,2018-03-26
29,1,2018-05-30 21:49:43.610,27.018963,43.062963,1008.725994,0.123297,2.130464,0.6125,2018-03-26
30,1,2018-05-30 22:04:44.907,26.705915,42.958185,1008.961594,0.122491,2.116239,0.6125,2018-03-26
31,1,2018-05-30 22:19:46.193,26.438311,42.606292,1009.137403,0.087033,1.490328,0.6125,2018-03-26
32,1,2018-05-30 22:34:47.483,26.27169,42.379508,1009.29165,0.124103,2.14469,0.6125,2018-03-26
33,1,2018-05-30 22:49:48.777,26.064676,42.422524,1009.325502,0.086227,1.476102,0.6125,2018-03-26
34,1,2018-05-30 23:04:49.973,25.887957,42.808769,1009.248404,0.083004,1.419201,0.6125,2018-03-26
35,1,2018-05-30 23:19:51.263,25.726386,42.880105,1009.303316,0.087033,1.490328,0.6125,2018-03-26
36,1,2018-05-30 23:34:52.557,25.564816,43.030031,1009.224232,0.087033,1.490328,0.6125,2018-03-26
37,1,2018-05-30 23:49:53.847,25.408294,42.966481,1009.20694,0.087033,1.490328,0.6125,2018-03-26
38,1,2018-05-31 00:04:55.140,25.256822,42.841262,1009.331678,0.087839,1.504553,0.6125,2018-03-26
39,1,2018-05-31 00:19:56.433,25.120498,42.963238,1009.427757,0.083004,1.419201,0.6125,2018-03-26
40,1,2018-05-31 00:34:57.723,24.989222,42.978581,1009.585548,0.087033,1.490328,0.6125,2018-03-26
41,1,2018-05-31 00:49:58.993,24.862996,42.814464,1009.510861,0.086227,1.476102,0.6125,2018-03-26
42,1,2018-05-31 01:05:00.187,24.762015,42.931115,1009.531299,0.086227,1.476102,0.6125,2018-03-26
43,1,2018-05-31 01:20:01.483,24.661035,43.025277,1009.364556,0.086227,1.476102,0.6125,2018-03-26
44,1,2018-05-31 01:35:02.680,24.570152,42.99619,1009.294685,0.10315,1.774833,0.6125,2018-03-26
45,1,2018-05-31 01:50:03.880,24.459074,43.118187,1009.164728,0.086227,1.476102,0.6125,2018-03-26
46,1,2018-05-31 02:05:05.173,24.388388,43.201388,1009.395393,0.082198,1.404976,0.6125,2018-03-26
47,1,2018-05-31 02:20:06.370,24.287407,43.093725,1009.255333,0.083004,1.419201,0.6125,2018-03-26
48,1,2018-05-31 02:35:07.660,24.196525,43.10944,1009.131953,0.086227,1.476102,0.6125,2018-03-26
49,1,2018-05-31 02:50:08.953,24.12079,43.24852,1009.167138,0.087033,1.490328,0.6125,2018-03-26
50,1,2018-05-31 03:05:10.250,24.034957,43.510576,1009.025374,0.086227,1.476102,0.6125,2018-03-26
51,1,2018-05-31 03:20:11.443,23.964272,43.923821,1009.14896,0.083004,1.419201,0.6125,2018-03-26
52,1,2018-05-31 03:35:12.640,23.908733,44.040556,1009.270823,0.086227,1.476102,0.6125,2018-03-26
53,1,2018-05-31 03:50:13.833,23.832998,43.977936,1009.359278,0.083004,1.419201,0.6125,2018-03-26
